Program,Org Name,Site Location,State,Speciality Description,Star Rating,API_Place_Search,API_Place_Detail
DES-Employment Support Service,Sureway Employment and Training Pty Ltd,ORBOST,VIC,All Client Types,3,"[{'candidates': [{'geometry': {'location': {'lat': -37.7077655, 'lng': 148.45873}, 'viewport': {'northeast': {'lat': -37.70649222010728, 'lng': 148.4600626798927}, 'southwest': {'lat': -37.70919187989273, 'lng': 148.4573630201072}}}, 'name': 'Sureway Employment and Training Orbost', 'place_id': 'ChIJLaugzYnLOmsRohKfK8Bqv9s'}, {'geometry': {'location': {'lat': -37.8783998, 'lng': 147.9922205}, 'viewport': {'northeast': {'lat': -37.87699092010728, 'lng': 147.9935496298927}, 'southwest': {'lat': -37.87969057989272, 'lng': 147.9908499701072}}}, 'name': 'Sureway Employment and Training Lakes Entrance', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJQ_dTPW1gJWsRsJSytCTxV5I'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '21', 'short_name': '21', 'types': ['street_number']}, {'long_name': 'Ruskin Street', 'short_name': 'Ruskin St', 'types': ['route']}, {'long_name': 'Orbost', 'short_name': 'Orbost', 'types': ['locality', 'political']}, {'long_name': 'East Gippsland Shire', 'short_name': 'East Gippsland', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3888', 'short_name': '3888', 'types': ['postal_code']}], 'formatted_address': '21 Ruskin St, Orbost VIC 3888, Australia', 'formatted_phone_number': '1300 787 392', 'url': 'https://maps.google.com/?cid=15834492188456063650', 'website': 'https://www.sureway.com.au/about-sureway/our-locations/orbost/'}, 'status': 'OK'}]"
DES-Employment Support Service,Sureway Employment and Training Pty Ltd,SALE,VIC,All Client Types,3,"[{'candidates': [{'geometry': {'location': {'lat': -38.1044779, 'lng': 147.0653673}, 'viewport': {'northeast': {'lat': -38.10312867010727, 'lng': 147.0666958298928}, 'southwest': {'lat': -38.10582832989272, 'lng': 147.0639961701073}}}, 'name': 'Sureway Employment and Training Sale', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJ8ROtMKgvL2sRVeYgqo585cQ'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '421', 'short_name': '421', 'types': ['street_number']}, {'long_name': 'Raymond Street', 'short_name': 'Raymond St', 'types': ['route']}, {'long_name': 'Sale', 'short_name': 'Sale', 'types': ['locality', 'political']}, {'long_name': 'Wellington Shire', 'short_name': 'Wellington', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3850', 'short_name': '3850', 'types': ['postal_code']}], 'formatted_address': '421 Raymond St, Sale VIC 3850, Australia', 'formatted_phone_number': '1300 787 392', 'url': 'https://maps.google.com/?cid=14187883153282098773', 'website': 'https://www.sureway.com.au/about-sureway/our-locations/sale/'}, 'status': 'OK'}]"
DES-Employment Support Service,Sureway Employment and Training Pty Ltd,SEYMOUR,VIC,All Client Types,4,"[{'candidates': [{'geometry': {'location': {'lat': -37.0244055, 'lng': 145.1349174}, 'viewport': {'northeast': {'lat': -37.02306777010728, 'lng': 145.1361911298928}, 'southwest': {'lat': -37.02576742989272, 'lng': 145.1334914701073}}}, 'name': 'Sureway Employment and Training Seymour', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJ5bH2gSqL12oRnRoecXblerQ'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '2', 'short_name': '2', 'types': ['street_number']}, {'long_name': 'Wallis Street', 'short_name': 'Wallis St', 'types': ['route']}, {'long_name': 'Seymour', 'short_name': 'Seymour', 'types': ['locality', 'political']}, {'long_name': 'Mitchell Shire', 'short_name': 'Mitchell', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3660', 'short_name': '3660', 'types': ['postal_code']}], 'formatted_address': '2 Wallis St, Seymour VIC 3660, Australia', 'formatted_phone_number': '1300 787 392', 'url': 'https://maps.google.com/?cid=13004959170852428445', 'website': 'https://www.sureway.com.au/about-sureway/our-locations/seymour/'}, 'status': 'OK'}]"
DES-Employment Support Service,Sureway Employment and Training Pty Ltd,SHEPPARTON,VIC,All Client Types,1,"[{'candidates': [{'geometry': {'location': {'lat': -36.3801904, 'lng': 145.3985772}, 'viewport': {'northeast': {'lat': -36.37880232010728, 'lng': 145.3996620798927}, 'southwest': {'lat': -36.38150197989272, 'lng': 145.3969624201073}}}, 'name': 'Sureway Employment and Training Shepparton', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJOc3YowiE2GoRzGedj003D7k'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '4', 'short_name': '4', 'types': ['subpremise']}, {'long_name': '125', 'short_name': '125', 'types': ['street_number']}, {'long_name': 'Welsford Street', 'short_name': 'Welsford St', 'types': ['route']}, {'long_name': 'Shepparton', 'short_name': 'Shepparton', 'types': ['locality', 'political']}, {'long_name': 'Greater Shepparton City', 'short_name': 'Greater Shepparton', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3630', 'short_name': '3630', 'types': ['postal_code']}], 'formatted_address': '4/125 Welsford St, Shepparton VIC 3630, Australia', 'formatted_phone_number': '1300 787 392', 'url': 'https://maps.google.com/?cid=13334937827928795084', 'website': 'https://www.sureway.com.au/about-sureway/our-locations/shepparton/'}, 'status': 'OK'}]"
DES-Employment Support Service,Sureway Employment and Training Pty Ltd,TRARALGON,VIC,All Client Types,3,"[{'candidates': [{'geometry': {'location': {'lat': -38.1978655, 'lng': 146.5348266}, 'viewport': {'northeast': {'lat': -38.19652802010727, 'lng': 146.5363049298927}, 'southwest': {'lat': -38.19922767989272, 'lng': 146.5336052701072}}}, 'name': 'Sureway Employment and Training Traralgon', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJDUCOIyEYKWsRFPSpk36TU5g'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '13B', 'short_name': '13B', 'types': ['street_number']}, {'long_name': 'Church Street', 'short_name': 'Church St', 'types': ['route']}, {'long_name': 'Traralgon', 'short_name': 'Traralgon', 'types': ['locality', 'political']}, {'long_name': 'Latrobe City', 'short_name': 'Latrobe', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3844', 'short_name': '3844', 'types': ['postal_code']}], 'formatted_address': '13B Church St, Traralgon VIC 3844, Australia', 'formatted_phone_number': '1300 787 392', 'url': 'https://maps.google.com/?cid=10976278888684581908', 'website': 'https://www.sureway.com.au/about-sureway/our-locations/traralgon/'}, 'status': 'OK'}]"
DES-Employment Support Service,Sureway Employment and Training Pty Ltd,WANGARATTA,VIC,All Client Types,4,"[{'candidates': [{'geometry': {'location': {'lat': -36.3551096, 'lng': 146.3271923}, 'viewport': {'northeast': {'lat': -36.35372247010729, 'lng': 146.3285025798927}, 'southwest': {'lat': -36.35642212989273, 'lng': 146.3258029201073}}}, 'name': 'Sureway Employment and Training Wangaratta', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJb3x_WKXbJmsRbeUNCKYqslU'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '70', 'short_name': '70', 'types': ['street_number']}, {'long_name': 'Murphy Street', 'short_name': 'Murphy St', 'types': ['route']}, {'long_name': 'Wangaratta', 'short_name': 'Wangaratta', 'types': ['locality', 'political']}, {'long_name': 'Wangaratta Rural City', 'short_name': 'Wangaratta', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3677', 'short_name': '3677', 'types': ['postal_code']}], 'formatted_address': '70 Murphy St, Wangaratta VIC 3677, Australia', 'formatted_phone_number': '1300 787 392', 'url': 'https://maps.google.com/?cid=6175044931666437485', 'website': 'https://www.sureway.com.au/about-sureway/our-locations/wangaratta/'}, 'status': 'OK'}]"
DES-Employment Support Service,Sureway Employment and Training Pty Ltd,WARRAGUL,VIC,All Client Types,2,"[{'candidates': [{'geometry': {'location': {'lat': -38.162001, 'lng': 145.931763}, 'viewport': {'northeast': {'lat': -38.16062007010729, 'lng': 145.9330046798927}, 'southwest': {'lat': -38.16331972989273, 'lng': 145.9303050201073}}}, 'name': 'Sureway Employment and Training Warragul', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJSVcV9fyVKWsR3qm4oIkSog8'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '54', 'short_name': '54', 'types': ['street_number']}, {'long_name': 'Smith Street', 'short_name': 'Smith St', 'types': ['route']}, {'long_name': 'Warragul', 'short_name': 'Warragul', 'types': ['locality', 'political']}, {'long_name': 'Baw Baw Shire', 'short_name': 'Baw Baw', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3820', 'short_name': '3820', 'types': ['postal_code']}], 'formatted_address': '54 Smith St, Warragul VIC 3820, Australia', 'formatted_phone_number': '1300 787 392', 'url': 'https://maps.google.com/?cid=1126483239112321502', 'website': 'https://www.sureway.com.au/about-sureway/our-locations/warragul/'}, 'status': 'OK'}]"
DES-Employment Support Service,Sureway Employment and Training Pty Ltd,WODONGA,VIC,All Client Types,4,"[{'candidates': [{'geometry': {'location': {'lat': -36.1231013, 'lng': 146.8857228}, 'viewport': {'northeast': {'lat': -36.12176697010728, 'lng': 146.8871689298927}, 'southwest': {'lat': -36.12446662989272, 'lng': 146.8844692701073}}}, 'name': 'Sureway Employment and Training Wodonga', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJWx5HC-VYIWsRLpulzbVaLL8'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '103', 'short_name': '103', 'types': ['street_number']}, {'long_name': 'Hume Street', 'short_name': 'Hume St', 'types': ['route']}, {'long_name': 'Wodonga', 'short_name': 'Wodonga', 'types': ['locality', 'political']}, {'long_name': 'Wodonga City', 'short_name': 'Wodonga', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3690', 'short_name': '3690', 'types': ['postal_code']}], 'formatted_address': '103 Hume St, Wodonga VIC 3690, Australia', 'formatted_phone_number': '1300 787 392', 'url': 'https://maps.google.com/?cid=13775485097105267502', 'website': 'https://www.sureway.com.au/about-sureway/our-locations/wodonga/'}, 'status': 'OK'}]"
DES-Employment Support Service,Sureway Employment and Training Pty Ltd,WONTHAGGI,VIC,All Client Types,2,"[{'candidates': [{'geometry': {'location': {'lat': -38.6052305, 'lng': 145.5897403}, 'viewport': {'northeast': {'lat': -38.60377742010728, 'lng': 145.5910734798927}, 'southwest': {'lat': -38.60647707989272, 'lng': 145.5883738201073}}}, 'name': 'Sureway Employment and Training Wonthanggi', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJaTZ-2YUMKmsRYBclS695wmU'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '2', 'short_name': '2', 'types': ['subpremise']}, {'long_name': '23-29', 'short_name': '23-29', 'types': ['street_number']}, {'long_name': 'Murray Street', 'short_name': 'Murray St', 'types': ['route']}, {'long_name': 'Wonthaggi', 'short_name': 'Wonthaggi', 'types': ['locality', 'political']}, {'long_name': 'Bass Coast Shire', 'short_name': 'Bass Coast', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3995', 'short_name': '3995', 'types': ['postal_code']}], 'formatted_address': '2/23-29 Murray St, Wonthaggi VIC 3995, Australia', 'formatted_phone_number': '1300 787 392', 'url': 'https://maps.google.com/?cid=7332556937099548512', 'website': 'https://www.sureway.com.au/about-sureway/our-locations/wonthaggi/'}, 'status': 'OK'}]"
DES-Employment Support Service,The Maxima Group Inc,BAIRNSDALE,VIC,All Client Types,5,"[{'candidates': [{'geometry': {'location': {'lat': -37.8247195, 'lng': 147.6318315}, 'viewport': {'northeast': {'lat': -37.82339057010728, 'lng': 147.6330882298927}, 'southwest': {'lat': -37.82609022989272, 'lng': 147.6303885701073}}}, 'name': 'Maxima', 'place_id': 'ChIJt4C4rOl_L2sRloCv_sHIflI'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '5', 'short_name': '5', 'types': ['street_number']}, {'long_name': 'Bailey Street', 'short_name': 'Bailey St', 'types': ['route']}, {'long_name': 'Bairnsdale', 'short_name': 'Bairnsdale', 'types': ['locality', 'political']}, {'long_name': 'East Gippsland Shire', 'short_name': 'East Gippsland', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3875', 'short_name': '3875', 'types': ['postal_code']}], 'formatted_address': '5 Bailey St, Bairnsdale VIC 3875, Australia', 'formatted_phone_number': '1300 629 462', 'url': 'https://maps.google.com/?cid=5944409293702791318', 'website': 'http://maxima.com.au/'}, 'status': 'OK'}]"
DES-Employment Support Service,The Maxima Group Inc,COWES,VIC,All Client Types,3,"[{'candidates': [], 'status': 'ZERO_RESULTS'}]",
DES-Employment Support Service,The Maxima Group Inc,LAKES ENTRANCE,VIC,All Client Types,3,"[{'candidates': [], 'status': 'ZERO_RESULTS'}]",
DES-Employment Support Service,The Maxima Group Inc,MOE,VIC,All Client Types,1,"[{'candidates': [], 'status': 'ZERO_RESULTS'}]",
DES-Employment Support Service,The Maxima Group Inc,MORWELL,VIC,All Client Types,3,"[{'candidates': [{'geometry': {'location': {'lat': -38.2380929, 'lng': 146.3972959}, 'viewport': {'northeast': {'lat': -38.23675322010727, 'lng': 146.3987149798927}, 'southwest': {'lat': -38.23945287989272, 'lng': 146.3960153201072}}}, 'name': 'Maxima Joblink', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJ23T8sBsSKWsROPAuy4-SM4M'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '14', 'short_name': '14', 'types': ['street_number']}, {'long_name': 'Tarwin Street', 'short_name': 'Tarwin St', 'types': ['route']}, {'long_name': 'Morwell', 'short_name': 'Morwell', 'types': ['locality', 'political']}, {'long_name': 'Latrobe City', 'short_name': 'Latrobe', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3840', 'short_name': '3840', 'types': ['postal_code']}], 'formatted_address': '14 Tarwin St, Morwell VIC 3840, Australia', 'url': 'https://maps.google.com/?cid=9454061189067632696', 'website': 'https://maxima.com.au/'}, 'status': 'OK'}]"
DES-Employment Support Service,The Maxima Group Inc,ORBOST,VIC,All Client Types,3,"[{'candidates': [], 'status': 'ZERO_RESULTS'}]",
DES-Employment Support Service,The Maxima Group Inc,SALE,VIC,All Client Types,2,"[{'candidates': [{'geometry': {'location': {'lat': -38.1114796, 'lng': 147.0651073}, 'viewport': {'northeast': {'lat': -38.11009827010728, 'lng': 147.0664558798927}, 'southwest': {'lat': -38.11279792989272, 'lng': 147.0637562201073}}}, 'name': 'Maxima', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJscXPITkvL2sR557LUY4SuRQ'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': 'Unit 1', 'short_name': 'Unit 1', 'types': ['subpremise']}, {'long_name': '89', 'short_name': '89', 'types': ['street_number']}, {'long_name': 'Foster Street', 'short_name': 'Foster St', 'types': ['route']}, {'long_name': 'Sale', 'short_name': 'Sale', 'types': ['locality', 'political']}, {'long_name': 'Wellington Shire', 'short_name': 'Wellington', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3850', 'short_name': '3850', 'types': ['postal_code']}], 'formatted_address': 'Unit 1/89 Foster St, Sale VIC 3850, Australia', 'formatted_phone_number': '1300 629 462', 'url': 'https://maps.google.com/?cid=1493245153916985063', 'website': 'http://maxima.com.au/'}, 'status': 'OK'}]"
DES-Employment Support Service,The Maxima Group Inc,TRARALGON,VIC,All Client Types,1,"[{'candidates': [], 'status': 'ZERO_RESULTS'}]",
DES-Employment Support Service,The Maxima Group Inc,WARRAGUL,VIC,All Client Types,2,"[{'candidates': [{'geometry': {'location': {'lat': -38.1617845, 'lng': 145.9257222}, 'viewport': {'northeast': {'lat': -38.16034632010727, 'lng': 145.9271223298927}, 'southwest': {'lat': -38.16304597989272, 'lng': 145.9244226701072}}}, 'name': 'Maxima', 'place_id': 'ChIJZbAljAiVKWsRsLpiSNc9yi8'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': 'Building 3', 'short_name': 'Building 3', 'types': ['subpremise']}, {'long_name': '6', 'short_name': '6', 'types': ['street_number']}, {'long_name': 'Queen Street', 'short_name': 'Queen St', 'types': ['route']}, {'long_name': 'Warragul', 'short_name': 'Warragul', 'types': ['locality', 'political']}, {'long_name': 'Baw Baw Shire', 'short_name': 'Baw Baw', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3820', 'short_name': '3820', 'types': ['postal_code']}], 'formatted_address': 'Building 3/6 Queen St, Warragul VIC 3820, Australia', 'formatted_phone_number': '1300 629 462', 'url': 'https://maps.google.com/?cid=3443632859919858352', 'website': 'http://maxima.com.au/'}, 'status': 'OK'}]"
DES-Employment Support Service,The Maxima Group Inc,WONTHAGGI,VIC,All Client Types,3,"[{'candidates': [{'geometry': {'location': {'lat': -38.6058943, 'lng': 145.5907074}, 'viewport': {'northeast': {'lat': -38.60463482010727, 'lng': 145.5920934798927}, 'southwest': {'lat': -38.60733447989271, 'lng': 145.5893938201073}}}, 'name': 'Maxima', 'place_id': 'ChIJPdtD_cANKmsRuSkHjDvLYAo'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '112A', 'short_name': '112A', 'types': ['street_number']}, {'long_name': 'Graham Street', 'short_name': 'Graham St', 'types': ['route']}, {'long_name': 'Wonthaggi', 'short_name': 'Wonthaggi', 'types': ['locality', 'political']}, {'long_name': 'Bass Coast Shire', 'short_name': 'Bass Coast', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3995', 'short_name': '3995', 'types': ['postal_code']}], 'formatted_address': '112A Graham St, Wonthaggi VIC 3995, Australia', 'formatted_phone_number': '1300 629 462', 'url': 'https://maps.google.com/?cid=747820994756291001', 'website': 'http://maxima.com.au/'}, 'status': 'OK'}]"
DES-Employment Support Service,The Personnel Group Ltd,BEECHWORTH,VIC,All Client Types,4,"[{'candidates': [{'geometry': {'location': {'lat': -36.3565953, 'lng': 146.3263857}, 'viewport': {'northeast': {'lat': -36.35531587010728, 'lng': 146.3276329798927}, 'southwest': {'lat': -36.35801552989273, 'lng': 146.3249333201072}}}, 'name': 'The Personnel Group', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJM4_l1rrbJmsRBKsSsLhSwCU'}, {'geometry': {'location': {'lat': -36.1239882, 'lng': 146.8853886}, 'viewport': {'northeast': {'lat': -36.12266317010727, 'lng': 146.8868879298927}, 'southwest': {'lat': -36.12536282989272, 'lng': 146.8841882701072}}}, 'name': 'The Personnel Group', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJL8XTxXdZIWsRyTuoaFhEoBA'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '24', 'short_name': '24', 'types': ['street_number']}, {'long_name': 'Ely Street', 'short_name': 'Ely St', 'types': ['route']}, {'long_name': 'Wangaratta', 'short_name': 'Wangaratta', 'types': ['locality', 'political']}, {'long_name': 'Wangaratta Rural City', 'short_name': 'Wangaratta', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3677', 'short_name': '3677', 'types': ['postal_code']}], 'formatted_address': '24 Ely St, Wangaratta VIC 3677, Australia', 'formatted_phone_number': '(03) 5721 4011', 'url': 'https://maps.google.com/?cid=2720265128113253124', 'website': 'http://www.personnelgroup.com.au/'}, 'status': 'OK'}]"
DES-Employment Support Service,The Personnel Group Ltd,BENALLA,VIC,All Client Types,4,"[{'candidates': [{'geometry': {'location': {'lat': -36.551177, 'lng': 145.983479}, 'viewport': {'northeast': {'lat': -36.54986652010728, 'lng': 145.9846812298927}, 'southwest': {'lat': -36.55256617989272, 'lng': 145.9819815701073}}}, 'name': 'The Personnel Group', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJqUxsIQMPJ2sRCR7LelbX-2I'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '85', 'short_name': '85', 'types': ['street_number']}, {'long_name': 'Nunn Street', 'short_name': 'Nunn St', 'types': ['route']}, {'long_name': 'Benalla', 'short_name': 'Benalla', 'types': ['locality', 'political']}, {'long_name': 'Benalla Rural City', 'short_name': 'Benalla', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3672', 'short_name': '3672', 'types': ['postal_code']}], 'formatted_address': '85 Nunn St, Benalla VIC 3672, Australia', 'formatted_phone_number': '(03) 5762 1470', 'url': 'https://maps.google.com/?cid=7132531201298603529', 'website': 'http://www.personnelgroup.com.au/'}, 'status': 'OK'}]"
DES-Employment Support Service,The Personnel Group Ltd,BENDIGO,VIC,All Client Types,3,"[{'candidates': [{'geometry': {'location': {'lat': -36.7640122, 'lng': 144.2781364}, 'viewport': {'northeast': {'lat': -36.76261572010728, 'lng': 144.2794336798927}, 'southwest': {'lat': -36.76531537989273, 'lng': 144.2767340201073}}}, 'name': 'The Personnel Group', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJCULPj-1Z12oR4_UCoXmAq2M'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '2', 'short_name': '2', 'types': ['subpremise']}, {'long_name': '59', 'short_name': '59', 'types': ['street_number']}, {'long_name': 'King Street', 'short_name': 'King St', 'types': ['route']}, {'long_name': 'Bendigo', 'short_name': 'Bendigo', 'types': ['locality', 'political']}, {'long_name': 'Greater Bendigo City', 'short_name': 'Greater Bendigo', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3550', 'short_name': '3550', 'types': ['postal_code']}], 'formatted_address': '2/59 King St, Bendigo VIC 3550, Australia', 'formatted_phone_number': '(03) 5410 0032', 'url': 'https://maps.google.com/?cid=7181975290653111779', 'website': 'http://www.personnelgroup.com.au/'}, 'status': 'OK'}]"
DES-Employment Support Service,The Personnel Group Ltd,BRIGHT,VIC,All Client Types,3,"[{'candidates': [], 'status': 'ZERO_RESULTS'}]",
DES-Employment Support Service,The Personnel Group Ltd,CASTLEMAINE,VIC,All Client Types,2,"[{'candidates': [], 'status': 'ZERO_RESULTS'}]",
DES-Employment Support Service,The Personnel Group Ltd,COBRAM,VIC,All Client Types,2,"[{'candidates': [{'geometry': {'location': {'lat': -35.9203254, 'lng': 145.6477117}, 'viewport': {'northeast': {'lat': -35.91897522010728, 'lng': 145.6491227298927}, 'southwest': {'lat': -35.92167487989272, 'lng': 145.6464230701073}}}, 'name': 'The Personnel Group', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJdwmRa1KtIGsRP6M4Vvw9eRs'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '4', 'short_name': '4', 'types': ['street_number']}, {'long_name': 'Sydney Street', 'short_name': 'Sydney St', 'types': ['route']}, {'long_name': 'Cobram', 'short_name': 'Cobram', 'types': ['locality', 'political']}, {'long_name': 'Moira Shire', 'short_name': 'Moira', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3644', 'short_name': '3644', 'types': ['postal_code']}], 'formatted_address': '4 Sydney St, Cobram VIC 3644, Australia', 'formatted_phone_number': '1300 874 000', 'url': 'https://maps.google.com/?cid=1979681665193648959', 'website': 'http://www.personnelgroup.com.au/'}, 'status': 'OK'}]"
DES-Employment Support Service,The Personnel Group Ltd,CORRYONG,VIC,All Client Types,4,"[{'candidates': [], 'status': 'ZERO_RESULTS'}]",
DES-Employment Support Service,The Personnel Group Ltd,EAGLEHAWK,VIC,All Client Types,New Site,"[{'candidates': [{'geometry': {'location': {'lat': -36.7640122, 'lng': 144.2781364}, 'viewport': {'northeast': {'lat': -36.76261572010728, 'lng': 144.2794336798927}, 'southwest': {'lat': -36.76531537989273, 'lng': 144.2767340201073}}}, 'name': 'The Personnel Group', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJCULPj-1Z12oR4_UCoXmAq2M'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '2', 'short_name': '2', 'types': ['subpremise']}, {'long_name': '59', 'short_name': '59', 'types': ['street_number']}, {'long_name': 'King Street', 'short_name': 'King St', 'types': ['route']}, {'long_name': 'Bendigo', 'short_name': 'Bendigo', 'types': ['locality', 'political']}, {'long_name': 'Greater Bendigo City', 'short_name': 'Greater Bendigo', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3550', 'short_name': '3550', 'types': ['postal_code']}], 'formatted_address': '2/59 King St, Bendigo VIC 3550, Australia', 'formatted_phone_number': '(03) 5410 0032', 'url': 'https://maps.google.com/?cid=7181975290653111779', 'website': 'http://www.personnelgroup.com.au/'}, 'status': 'OK'}]"
